ProcessName,Type,Description,AssociatedMalware
wuauserv.exe,Spoofed Process,Fake Windows Update service,Adware/Spyware
svch0st.exe,Spoofed Process,Misspelled svchost.exe,Trojan
csrss.exe,Spoofed Process,Malicious copy of Client Server Runtime,Ransomware
lsasss.exe,Spoofed Process,Impersonates lsass.exe (credential theft),Mimikatz
spoolsv.exe,Exploited Process,Abused via print spooler vulnerabilities,PrintNightmare
rundll32.exe,Abused Tool,Executes malicious DLLs,Fileless Malware
mshta.exe,Abused Tool,Runs malicious HTA scripts,Phishing Payloads
chromeupdate.exe,Fake Updater,Disguised Chrome updater,Adware
javaw.exe,Abused Tool,Legitimate Java but often hijacked,Exploit Kits
expl0rer.exe,Spoofed Process,Malicious explorer.exe clone,Spyware
winupdate.exe,Fake Updater,Fake Windows Update executable,Rogueware
taskhost.exe,Spoofed Process,Fake task host process,Backdoor
adobe_flash.exe,Fake Installer,Malware disguised as Flash updater,Trojan
setup.exe,Generic Malware,Generic installer name,Ransomware
service.exe,Generic Malware,Common malware disguise,Spyware
malware.exe,Generic Malware,Placeholder name for malicious code,Generic
trojan.exe,Generic Malware,Placeholder name for trojans,Trojan
ransomware.exe,Generic Malware,Placeholder name for ransomware,Ransomware
spyware.dll,Malicious DLL,Spyware component,Spyware
update_helper.exe,Fake Utility,Fake update assistant,Adware
