0: System Idle Process
4: System
188: 
232: Registry
640: RuntimeBroker.exe
672: svchost.exe
1104: smss.exe
1544: msedgewebview2.exe
1552: unsecapp.exe
1564: csrss.exe
1652: wininit.exe
1660: csrss.exe
1700: WUDFHost.exe
1752: winlogon.exe
1776: services.exe
1800: svchost.exe
1804: LsaIso.exe
1824: lsass.exe
1964: svchost.exe
1996: fontdrvhost.exe
2004: fontdrvhost.exe
2120: WUDFHost.exe
2176: dwm.exe
2276: svchost.exe
2304: svchost.exe
2320: svchost.exe
2328: svchost.exe
2356: svchost.exe
2372: svchost.exe
2380: svchost.exe
2516: PhoneExperienceHost.exe
2588: brave.exe
2644: svchost.exe
2652: svchost.exe
2664: svchost.exe
2736: svchost.exe
2744: svchost.exe
2888: svchost.exe
2908: svchost.exe
2912: svchost.exe
2928: chrome.exe
2948: IntelCpHDCPSvc.exe
2980: svchost.exe
3028: svchost.exe
3168: svchost.exe
3176: svchost.exe
3228: svchost.exe
3240: svchost.exe
3272: Code.exe
3328: svchost.exe
3376: svchost.exe
3436: WmiApSrv.exe
3452: RuntimeBroker.exe
3488: chrome.exe
3660: chrome.exe
3752: python.exe
3760: svchost.exe
3768: svchost.exe
3840: svchost.exe
3860: backgroundTaskHost.exe
3980: svchost.exe
4072: svchost.exe
4124: YMC.exe
4144: svchost.exe
4156: svchost.exe
4164: svchost.exe
4196: svchost.exe
4284: svchost.exe
4296: WUDFHost.exe
4332: svchost.exe
4344: msedgewebview2.exe
4400: svchost.exe
4420: svchost.exe
4432: svchost.exe
4448: svchost.exe
4460: SmartNote.App.Update.exe
4508: svchost.exe
4620: MemCompression
4668: svchost.exe
4752: svchost.exe
4776: svchost.exe
4784: chrome.exe
4844: WUDFHost.exe
4900: svchost.exe
4940: WTabletServiceISD.exe
5016: svchost.exe
5044: svchost.exe
5164: svchost.exe
5172: audiodg.exe
5256: svchost.exe
5352: msedgewebview2.exe
5392: svchost.exe
5420: svchost.exe
5460: WUDFHost.exe
5500: msedgewebview2.exe
5508: msedgewebview2.exe
5544: svchost.exe
5588: WTabletServiceISD.exe
5616: conhost.exe
5620: svchost.exe
5648: spoolsv.exe
5716: WUDFHost.exe
5868: svchost.exe
5904: LenovoVantage-(LenovoServiceBridgeAddin).exe
5924: svchost.exe
5976: svchost.exe
5984: chrome.exe
6020: svchost.exe
6088: NgcIso.exe
6452: svchost.exe
6572: chrome.exe
6600: unsecapp.exe
6664: SnippingTool.exe
6680: chrome.exe
6692: DbxSvc.exe
6724: svchost.exe
6732: DAX3API.exe
6748: CloudEndpointService.exe
6764: svchost.exe
6772: AdskAccessServiceHost.exe
6780: svchost.exe
6788: WsNativePushService.exe
6796: ipfsvc.exe
6812: Lenovo.Modern.ImController.exe
6820: SmartAppearanceSVC.exe
6828: svchost.exe
6836: LenovoVantageService.exe
6852: WMIRegistrationService.exe
6860: Lockscreen.Service.exe
6876: SmartNote.Service.exe
6892: svchost.exe
6908: svchost.exe
6916: vmware-usbarbitrator64.exe
6928: ipf_uf.exe
6940: ElevocControlService.exe
6960: ELANFPService.exe
6968: MpDefenderCoreService.exe
6984: svchost.exe
6992: vmnat.exe
7004: svchost.exe
7012: OneApp.IGCC.WinService.exe
7020: wslservice.exe
7028: MsMpEng.exe
7044: IntelAudioService.exe
7052: LNBITSSvc.exe
7060: LenovoUtilityService.exe
7068: vmware-authd.exe
7076: FNPLicensingService.exe
7084: vmnetdhcp.exe
7092: RtkAudUService64.exe
7100: EndpointBasecamp.exe
7116: svchost.exe
7128: UDClientService.exe
7156: WSCommunicator.exe
7248: LenovoVantage-(SmartDisplayAddin).exe
7304: WmiPrvSE.exe
7312: WmiPrvSE.exe
7948: cmd.exe
8044: YB9.SmartNote.exe
8048: Code.exe
8236: svchost.exe
8348: dasHost.exe
8384: chrome.exe
8924: ipf_helper.exe
8976: DAX3API.exe
9012: jhi_service.exe
9052: taskhostw.exe
9100: TextInputHost.exe
9232: Code.exe
9328: FaceBeautify.exe
9576: msedgewebview2.exe
9704: Code.exe
9752: AutoModeDetect.exe
9772: conhost.exe
